,dt,name,median_spores,prevalence_hi
136,21720,R8C1PL_MON,0,0
137,21720,R8C2SL_MON,0,0
138,21720,R9C1SL_MON,0,0
139,21720,R9C2PL_MON,0,0
140,21760,R10C1PL_MON,0,0
141,21760,R10C2SL_MON,0,0
142,21760,R1C1SK_MON,0,0
143,21760,R1C2PM_MON,0,0
144,21760,R2C1PK_MON,0,0
145,21760,R2C2SM_MON,0,0
146,21760,R3C1SK_MON,0,0
147,21760,R3C2PM_MON,0,0
148,21760,R4C1PK_MON,0,0
149,21760,R4C2SM_MON,0,0
150,21760,R5C1SK_MON,0,0
151,21760,R5C2PM_MON,0,0
152,21760,R6C1PK_MON,0,0
153,21760,R6C2SM_MON,0,0
154,21760,R7C1SK_MON,0,0
155,21760,R7C2PM_MON,0,0
156,21760,R8C1PL_MON,0,0
157,21760,R8C2SL_MON,0,0
158,21760,R9C1SL_MON,0,0
159,21760,R9C2PL_MON,0,0
160,21800,R10C1PL_MON,0,0
161,21800,R10C2SL_MON,0,0
162,21800,R1C1SK_MON,0,0
163,21800,R1C2PM_MON,0,0
164,21800,R2C1PK_MON,0,0
165,21800,R2C2SM_MON,0,0
166,21800,R3C1SK_MON,0,0
167,21800,R3C2PM_MON,0,0
168,21800,R4C1PK_MON,0,0
169,21800,R4C2SM_MON,0,0
170,21800,R5C1SK_MON,0,0
171,21800,R5C2PM_MON,0,0
172,21800,R6C1PK_MON,0,0
173,21800,R6C2SM_MON,0,0
174,21800,R7C1SK_MON,0,0
175,21800,R7C2PM_MON,0,0
176,21800,R8C1PL_MON,0,0
177,21800,R8C2SL_MON,0,0
178,21800,R9C1SL_MON,0,0
179,21800,R9C2PL_MON,0,0
180,21840,R10C1PL_MON,0,0
181,21840,R10C2SL_MON,0,0
182,21840,R1C1SK_MON,0,0
183,21840,R1C2PM_MON,0,0
184,21840,R2C1PK_MON,0,0
185,21840,R2C2SM_MON,0,0
186,21840,R3C1SK_MON,0,0
187,21840,R3C2PM_MON,0,0
188,21840,R4C1PK_MON,0,0
189,21840,R4C2SM_MON,0,0
190,21840,R5C1SK_MON,0,0
191,21840,R5C2PM_MON,0,0
192,21840,R6C1PK_MON,0,0
193,21840,R6C2SM_MON,0,0
194,21840,R7C1SK_MON,0,0
195,21840,R7C2PM_MON,0,0
196,21840,R8C1PL_MON,0,0
197,21840,R8C2SL_MON,0,0
198,21840,R9C1SL_MON,0,0
199,21840,R9C2PL_MON,0,0
200,21880,R10C1PL_MON,0,0
201,21880,R10C2SL_MON,0,0
202,21880,R1C1SK_MON,0,0
203,21880,R1C2PM_MON,0,0
204,21880,R2C1PK_MON,0,0
205,21880,R2C2SM_MON,0,0
206,21880,R3C1SK_MON,0,0
207,21880,R3C2PM_MON,0,0
208,21880,R4C1PK_MON,0,0
209,21880,R4C2SM_MON,0,0
210,21880,R5C1SK_MON,0,0
211,21880,R5C2PM_MON,0,0
212,21880,R6C1PK_MON,0,0
213,21880,R6C2SM_MON,0,0
214,21880,R7C1SK_MON,0,0
215,21880,R7C2PM_MON,0,0
216,21880,R8C1PL_MON,0,0
217,21880,R8C2SL_MON,0,0
218,21880,R9C1SL_MON,0,0
219,21880,R9C2PL_MON,0,0
220,21920,R10C1PL_MON,0,0
221,21920,R10C2SL_MON,0,0
222,21920,R1C1SK_MON,0,0
223,21920,R1C2PM_MON,0,0
224,21920,R2C1PK_MON,0,0
225,21920,R2C2SM_MON,0,0
226,21920,R3C1SK_MON,0,0
227,21920,R3C2PM_MON,0,0
228,21920,R4C1PK_MON,0,0
229,21920,R4C2SM_MON,0,0
230,21920,R5C1SK_MON,0,0
231,21920,R5C2PM_MON,0,0
232,21920,R6C1PK_MON,0,0
233,21920,R6C2SM_MON,0,0
234,21920,R7C1SK_MON,0,0
235,21920,R7C2PM_MON,0,0
236,21920,R8C1PL_MON,0,0.01
237,21920,R8C2SL_MON,0,0
238,21920,R9C1SL_MON,0,0
239,21920,R9C2PL_MON,0,0
240,21960,R10C1PL_MON,0,0
241,21960,R10C2SL_MON,0,0
242,21960,R1C1SK_MON,0,0
243,21960,R1C2PM_MON,0,0
244,21960,R2C1PK_MON,0,0
245,21960,R2C2SM_MON,0,0
246,21960,R3C1SK_MON,0,0
247,21960,R3C2PM_MON,0,0
248,21960,R4C1PK_MON,0,0
249,21960,R4C2SM_MON,0,0
250,21960,R5C1SK_MON,0,0
251,21960,R5C2PM_MON,0,0
