any_ne_any_ne,treatment,name,week,time,subset,day,order,colony
3.36016547211592,SHAM,R1C1SK_THU,1,48,1,THU,1,1
2.5074580754222,SHAM,R1C1SK_THU,1,48,1,THU,1,1
6.34751688654705,SHAM,R1C1SK_THU,1,48,1,THU,1,1
7.86432174443543,SHAM,R1C1SK_THU,1,48,1,THU,1,1
4.36890835907553,SHAM,R1C1SK_THU,1,48,1,THU,1,1
3.36016547211592,SHAM,R1C1SK_THU,1,48,1,THU,1,1
5.70152733923113,SHAM,R1C1SK_THU,1,48,1,THU,1,1
0.666187004526507,SHAM,R1C1SK_THU,1,48,1,THU,1,1
4.80582953297347,SHAM,R1C1SK_THU,1,48,1,THU,1,1
3.23725242296612,SHAM,R1C1SK_THU,1,48,1,THU,1,1
2.5074580754222,SHAM,R1C1SK_THU,1,48,1,THU,1,1
5.70152733923113,SHAM,R1C1SK_THU,1,48,1,THU,1,1
5.61989292602626,SHAM,R1C1SK_FRI,1,72,1,FRI,1,1
3.02477406181024,SHAM,R1C1SK_FRI,1,72,1,FRI,1,1
7.74888941740202,SHAM,R1C1SK_FRI,1,72,1,FRI,1,1
3.42638849592395,SHAM,R1C1SK_FRI,1,72,1,FRI,1,1
5.61989292602626,SHAM,R1C1SK_FRI,1,72,1,FRI,1,1
3.36934088509904,SHAM,R1C1SK_FRI,1,72,1,FRI,1,1
5.98020576569068,SHAM,R1C1SK_FRI,1,72,1,FRI,1,1
3.02477406181024,SHAM,R1C1SK_FRI,1,72,1,FRI,1,1
4.78791478131399,SHAM,R1C1SK_FRI,1,72,1,FRI,1,1
4.93889695428038,SHAM,R1C1SK_FRI,1,72,1,FRI,1,1
4.15843054829584,SHAM,R1C1SK_FRI,1,72,1,FRI,1,1
3.03836068053153,SHAM,R1C1SK_FRI,1,72,1,FRI,1,1
5.00968498261118,SHAM,R1C1SK_FRI,1,72,1,FRI,1,1
7.74888941740202,SHAM,R1C1SK_FRI,1,72,1,FRI,1,1
4.78791478131399,SHAM,R1C1SK_FRI,1,72,1,FRI,1,1
8.50121720053223,SHAM,R1C1SK_FRI,1,72,1,FRI,1,1
4.7171537449107,SHAM,R1C1SK_FRI,1,72,1,FRI,1,1
6.00506760604117,SHAM,R1C1SK_FRI,1,72,1,FRI,1,1
5.77555838885947,SHAM,R1C1SK_FRI,1,72,1,FRI,1,1
3.42638849592395,SHAM,R1C1SK_FRI,1,72,1,FRI,1,1
4.93889695428038,SHAM,R1C1SK_FRI,1,72,1,FRI,1,1
8.50121720053223,SHAM,R1C1SK_FRI,1,72,1,FRI,1,1
4.50811139780285,SHAM,R1C1SK_FRI,1,72,1,FRI,1,1
2.53916090963137,SHAM,R1C1SK_FRI,1,72,1,FRI,1,1
4.18877501484623,SHAM,R1C1SK_FRI,1,72,1,FRI,1,1
5.61989292602626,SHAM,R1C1SK_FRI,1,72,1,FRI,1,1
4.15843054829584,SHAM,R1C1SK_FRI,1,72,1,FRI,1,1
4.7171537449107,SHAM,R1C1SK_FRI,1,72,1,FRI,1,1
4.50811139780285,SHAM,R1C1SK_FRI,1,72,1,FRI,1,1
2.42933355058543,SHAM,R1C1SK_FRI,1,72,1,FRI,1,1
1.1547105697966,SHAM,R1C1SK_FRI,1,72,1,FRI,1,1
3.36934088509904,SHAM,R1C1SK_FRI,1,72,1,FRI,1,1
3.03836068053153,SHAM,R1C1SK_FRI,1,72,1,FRI,1,1
6.00506760604117,SHAM,R1C1SK_FRI,1,72,1,FRI,1,1
2.53916090963137,SHAM,R1C1SK_FRI,1,72,1,FRI,1,1
2.42933355058543,SHAM,R1C1SK_FRI,1,72,1,FRI,1,1
2.62779356114593,SHAM,R1C1SK_FRI,1,72,1,FRI,1,1
5.98020576569068,SHAM,R1C1SK_FRI,1,72,1,FRI,1,1
5.00968498261118,SHAM,R1C1SK_FRI,1,72,1,FRI,1,1
5.77555838885947,SHAM,R1C1SK_FRI,1,72,1,FRI,1,1
4.18877501484623,SHAM,R1C1SK_FRI,1,72,1,FRI,1,1
1.1547105697966,SHAM,R1C1SK_FRI,1,72,1,FRI,1,1
2.62779356114593,SHAM,R1C1SK_FRI,1,72,1,FRI,1,1
0.898364625305338,SHAM,R1C1SK_MON,1,144,1,MON,1,1
7.82857369372768,SHAM,R1C1SK_MON,1,144,1,MON,1,1
4.78729376350825,SHAM,R1C1SK_MON,1,144,1,MON,1,1
6.03254327196457,SHAM,R1C1SK_MON,1,144,1,MON,1,1
8.51329890616,SHAM,R1C1SK_MON,1,144,1,MON,1,1
5.48433759246502,SHAM,R1C1SK_MON,1,144,1,MON,1,1
4.84908051367731,SHAM,R1C1SK_MON,1,144,1,MON,1,1
7.82857369372768,SHAM,R1C1SK_MON,1,144,1,MON,1,1
5.61675787265216,SHAM,R1C1SK_MON,1,144,1,MON,1,1
3.3821215235411,SHAM,R1C1SK_MON,1,144,1,MON,1,1
3.42061520417015,SHAM,R1C1SK_MON,1,144,1,MON,1,1
6.15450387927411,SHAM,R1C1SK_MON,1,144,1,MON,1,1
3.05964842751582,SHAM,R1C1SK_MON,1,144,1,MON,1,1
4.78729376350825,SHAM,R1C1SK_MON,1,144,1,MON,1,1
5.61675787265216,SHAM,R1C1SK_MON,1,144,1,MON,1,1
2.40056014296664,SHAM,R1C1SK_MON,1,144,1,MON,1,1
4.43579506683977,SHAM,R1C1SK_MON,1,144,1,MON,1,1
0.898364625305338,SHAM,R1C1SK_MON,1,144,1,MON,1,1
4.2088212720428,SHAM,R1C1SK_MON,1,144,1,MON,1,1
6.03254327196457,SHAM,R1C1SK_MON,1,144,1,MON,1,1
3.3821215235411,SHAM,R1C1SK_MON,1,144,1,MON,1,1
2.40056014296664,SHAM,R1C1SK_MON,1,144,1,MON,1,1
2.51013712274848,SHAM,R1C1SK_MON,1,144,1,MON,1,1
2.81534260792537,SHAM,R1C1SK_MON,1,144,1,MON,1,1
3.08483994722579,SHAM,R1C1SK_MON,1,144,1,MON,1,1
8.51329890616,SHAM,R1C1SK_MON,1,144,1,MON,1,1
3.42061520417015,SHAM,R1C1SK_MON,1,144,1,MON,1,1
4.43579506683977,SHAM,R1C1SK_MON,1,144,1,MON,1,1
2.51013712274848,SHAM,R1C1SK_MON,1,144,1,MON,1,1
4.46548316254803,SHAM,R1C1SK_MON,1,144,1,MON,1,1
4.95889288299314,SHAM,R1C1SK_MON,1,144,1,MON,1,1
5.48433759246502,SHAM,R1C1SK_MON,1,144,1,MON,1,1
6.15450387927411,SHAM,R1C1SK_MON,1,144,1,MON,1,1
0.898364625305338,SHAM,R1C1SK_MON,1,144,1,MON,1,1
2.81534260792537,SHAM,R1C1SK_MON,1,144,1,MON,1,1
4.46548316254803,SHAM,R1C1SK_MON,1,144,1,MON,1,1
5.03410165769425,SHAM,R1C1SK_MON,1,144,1,MON,1,1
4.84908051367731,SHAM,R1C1SK_MON,1,144,1,MON,1,1
3.05964842751582,SHAM,R1C1SK_MON,1,144,1,MON,1,1
4.2088212720428,SHAM,R1C1SK_MON,1,144,1,MON,1,1
3.08483994722579,SHAM,R1C1SK_MON,1,144,1,MON,1,1
4.95889288299314,SHAM,R1C1SK_MON,1,144,1,MON,1,1
5.03410165769425,SHAM,R1C1SK_MON,1,144,1,MON,1,1
8.55470403697032,PATHOGEN,R1C2PM_WED,1,24,2,WED,2,1
1.96911657797507,PATHOGEN,R1C2PM_WED,1,24,2,WED,2,1
5.07983108109906,PATHOGEN,R1C2PM_WED,1,24,2,WED,2,1
3.51169223808123,PATHOGEN,R1C2PM_WED,1,24,2,WED,2,1
0.205111707369424,PATHOGEN,R1C2PM_WED,1,24,2,WED,2,1
8.55470403697032,PATHOGEN,R1C2PM_WED,1,24,2,WED,2,1
3.95791970295002,PATHOGEN,R1C2PM_WED,1,24,2,WED,2,1
4.62232185973673,PATHOGEN,R1C2PM_WED,1,24,2,WED,2,1
1.61677307854257,PATHOGEN,R1C2PM_WED,1,24,2,WED,2,1
1.96911657797507,PATHOGEN,R1C2PM_WED,1,24,2,WED,2,1
4.95135639599456,PATHOGEN,R1C2PM_WED,1,24,2,WED,2,1
1.56079683300109,PATHOGEN,R1C2PM_WED,1,24,2,WED,2,1
2.14451288994873,PATHOGEN,R1C2PM_WED,1,24,2,WED,2,1
8.42143963067628,PATHOGEN,R1C2PM_WED,1,24,2,WED,2,1
5.56491765472826,PATHOGEN,R1C2PM_WED,1,24,2,WED,2,1
4.47252774629809,PATHOGEN,R1C2PM_WED,1,24,2,WED,2,1
3.48417274132702,PATHOGEN,R1C2PM_WED,1,24,2,WED,2,1
5.07983108109906,PATHOGEN,R1C2PM_WED,1,24,2,WED,2,1
4.95135639599456,PATHOGEN,R1C2PM_WED,1,24,2,WED,2,1
5.1719337957383,PATHOGEN,R1C2PM_WED,1,24,2,WED,2,1
5.02137407738161,PATHOGEN,R1C2PM_WED,1,24,2,WED,2,1
3.51265248390106,PATHOGEN,R1C2PM_WED,1,24,2,WED,2,1
4.78175409107369,PATHOGEN,R1C2PM_WED,1,24,2,WED,2,1
0.481556395970399,PATHOGEN,R1C2PM_WED,1,24,2,WED,2,1
4.99783691960832,PATHOGEN,R1C2PM_WED,1,24,2,WED,2,1
3.51169223808123,PATHOGEN,R1C2PM_WED,1,24,2,WED,2,1
1.56079683300109,PATHOGEN,R1C2PM_WED,1,24,2,WED,2,1
5.1719337957383,PATHOGEN,R1C2PM_WED,1,24,2,WED,2,1
3.6778991370754,PATHOGEN,R1C2PM_WED,1,24,2,WED,2,1
8.41490574094008,PATHOGEN,R1C2PM_WED,1,24,2,WED,2,1
6.87289953367572,PATHOGEN,R1C2PM_WED,1,24,2,WED,2,1
4.73161857877408,PATHOGEN,R1C2PM_WED,1,24,2,WED,2,1
4.970662361547,PATHOGEN,R1C2PM_WED,1,24,2,WED,2,1
0.205111707369424,PATHOGEN,R1C2PM_WED,1,24,2,WED,2,1
2.14451288994873,PATHOGEN,R1C2PM_WED,1,24,2,WED,2,1
5.02137407738161,PATHOGEN,R1C2PM_WED,1,24,2,WED,2,1
3.6778991370754,PATHOGEN,R1C2PM_WED,1,24,2,WED,2,1
8.479542542063,PATHOGEN,R1C2PM_WED,1,24,2,WED,2,1
3.75786708952033,PATHOGEN,R1C2PM_WED,1,24,2,WED,2,1
4.57032123460704,PATHOGEN,R1C2PM_WED,1,24,2,WED,2,1
1.41468932101716,PATHOGEN,R1C2PM_WED,1,24,2,WED,2,1
8.55470403697032,PATHOGEN,R1C2PM_WED,1,24,2,WED,2,1
8.42143963067628,PATHOGEN,R1C2PM_WED,1,24,2,WED,2,1
3.51265248390106,PATHOGEN,R1C2PM_WED,1,24,2,WED,2,1
8.41490574094008,PATHOGEN,R1C2PM_WED,1,24,2,WED,2,1
8.479542542063,PATHOGEN,R1C2PM_WED,1,24,2,WED,2,1
7.27817531246028,PATHOGEN,R1C2PM_WED,1,24,2,WED,2,1
3.9913131694226,PATHOGEN,R1C2PM_WED,1,24,2,WED,2,1
8.24183189991195,PATHOGEN,R1C2PM_WED,1,24,2,WED,2,1
3.95791970295002,PATHOGEN,R1C2PM_WED,1,24,2,WED,2,1
5.56491765472826,PATHOGEN,R1C2PM_WED,1,24,2,WED,2,1
4.78175409107369,PATHOGEN,R1C2PM_WED,1,24,2,WED,2,1
6.87289953367572,PATHOGEN,R1C2PM_WED,1,24,2,WED,2,1
3.75786708952033,PATHOGEN,R1C2PM_WED,1,24,2,WED,2,1
7.27817531246028,PATHOGEN,R1C2PM_WED,1,24,2,WED,2,1
4.59516467332782,PATHOGEN,R1C2PM_WED,1,24,2,WED,2,1
2.43827629945829,PATHOGEN,R1C2PM_WED,1,24,2,WED,2,1
4.62232185973673,PATHOGEN,R1C2PM_WED,1,24,2,WED,2,1
4.47252774629809,PATHOGEN,R1C2PM_WED,1,24,2,WED,2,1
0.481556395970399,PATHOGEN,R1C2PM_WED,1,24,2,WED,2,1
4.73161857877408,PATHOGEN,R1C2PM_WED,1,24,2,WED,2,1
4.57032123460704,PATHOGEN,R1C2PM_WED,1,24,2,WED,2,1
3.9913131694226,PATHOGEN,R1C2PM_WED,1,24,2,WED,2,1
4.59516467332782,PATHOGEN,R1C2PM_WED,1,24,2,WED,2,1
4.61559980527992,PATHOGEN,R1C2PM_WED,1,24,2,WED,2,1
1.61677307854257,PATHOGEN,R1C2PM_WED,1,24,2,WED,2,1
3.48417274132702,PATHOGEN,R1C2PM_WED,1,24,2,WED,2,1
4.99783691960832,PATHOGEN,R1C2PM_WED,1,24,2,WED,2,1
4.970662361547,PATHOGEN,R1C2PM_WED,1,24,2,WED,2,1
1.41468932101716,PATHOGEN,R1C2PM_WED,1,24,2,WED,2,1
8.24183189991195,PATHOGEN,R1C2PM_WED,1,24,2,WED,2,1
2.43827629945829,PATHOGEN,R1C2PM_WED,1,24,2,WED,2,1
4.61559980527992,PATHOGEN,R1C2PM_WED,1,24,2,WED,2,1
4.04030804828048,PATHOGEN,R1C2PM_THU,1,48,2,THU,2,1
6.33408836179288,PATHOGEN,R1C2PM_THU,1,48,2,THU,2,1
4.04030804828048,PATHOGEN,R1C2PM_THU,1,48,2,THU,2,1
1.74850482555811,PATHOGEN,R1C2PM_THU,1,48,2,THU,2,1
6.18058702713585,PATHOGEN,R1C2PM_THU,1,48,2,THU,2,1
3.45808158521455,PATHOGEN,R1C2PM_THU,1,48,2,THU,2,1
6.33408836179288,PATHOGEN,R1C2PM_THU,1,48,2,THU,2,1
8.12526062658916,PATHOGEN,R1C2PM_THU,1,48,2,THU,2,1
4.59284480197187,PATHOGEN,R1C2PM_THU,1,48,2,THU,2,1
4.78207594826766,PATHOGEN,R1C2PM_THU,1,48,2,THU,2,1
6.60481550650735,PATHOGEN,R1C2PM_THU,1,48,2,THU,2,1
4.04030804828048,PATHOGEN,R1C2PM_THU,1,48,2,THU,2,1
8.12526062658916,PATHOGEN,R1C2PM_THU,1,48,2,THU,2,1
4.79213865356586,PATHOGEN,R1C2PM_THU,1,48,2,THU,2,1
5.14824534428964,PATHOGEN,R1C2PM_THU,1,48,2,THU,2,1
7.49691180587047,PATHOGEN,R1C2PM_THU,1,48,2,THU,2,1
1.74850482555811,PATHOGEN,R1C2PM_THU,1,48,2,THU,2,1
4.59284480197187,PATHOGEN,R1C2PM_THU,1,48,2,THU,2,1
4.79213865356586,PATHOGEN,R1C2PM_THU,1,48,2,THU,2,1
5.19986231788881,PATHOGEN,R1C2PM_THU,1,48,2,THU,2,1
3.4440233920518,PATHOGEN,R1C2PM_THU,1,48,2,THU,2,1
6.18058702713585,PATHOGEN,R1C2PM_THU,1,48,2,THU,2,1
4.78207594826766,PATHOGEN,R1C2PM_THU,1,48,2,THU,2,1
5.14824534428964,PATHOGEN,R1C2PM_THU,1,48,2,THU,2,1
5.19986231788881,PATHOGEN,R1C2PM_THU,1,48,2,THU,2,1
8.59667937345578,PATHOGEN,R1C2PM_THU,1,48,2,THU,2,1
3.45808158521455,PATHOGEN,R1C2PM_THU,1,48,2,THU,2,1
6.60481550650735,PATHOGEN,R1C2PM_THU,1,48,2,THU,2,1
7.49691180587047,PATHOGEN,R1C2PM_THU,1,48,2,THU,2,1
3.4440233920518,PATHOGEN,R1C2PM_THU,1,48,2,THU,2,1
8.59667937345578,PATHOGEN,R1C2PM_THU,1,48,2,THU,2,1
6.76656665617801,PATHOGEN,R1C2PM_FRI,1,72,2,FRI,2,1
4.86321091605767,PATHOGEN,R1C2PM_FRI,1,72,2,FRI,2,1
6.05627039212253,PATHOGEN,R1C2PM_FRI,1,72,2,FRI,2,1
4.5811354624154,PATHOGEN,R1C2PM_FRI,1,72,2,FRI,2,1
7.75098440522235,PATHOGEN,R1C2PM_FRI,1,72,2,FRI,2,1
8.75899339016672,PATHOGEN,R1C2PM_FRI,1,72,2,FRI,2,1
8.22715066487177,PATHOGEN,R1C2PM_FRI,1,72,2,FRI,2,1
8.10871664090564,PATHOGEN,R1C2PM_FRI,1,72,2,FRI,2,1
2.29868954770294,PATHOGEN,R1C2PM_FRI,1,72,2,FRI,2,1
6.67626784366179,PATHOGEN,R1C2PM_FRI,1,72,2,FRI,2,1
4.3512019980834,PATHOGEN,R1C2PM_FRI,1,72,2,FRI,2,1
7.59871475152213,PATHOGEN,R1C2PM_FRI,1,72,2,FRI,2,1
1.1643749228395,PATHOGEN,R1C2PM_FRI,1,72,2,FRI,2,1
8.41511335707963,PATHOGEN,R1C2PM_FRI,1,72,2,FRI,2,1
4.86321091605767,PATHOGEN,R1C2PM_FRI,1,72,2,FRI,2,1
4.88855504677123,PATHOGEN,R1C2PM_FRI,1,72,2,FRI,2,1
5.0681754922568,PATHOGEN,R1C2PM_FRI,1,72,2,FRI,2,1
4.41869549206126,PATHOGEN,R1C2PM_FRI,1,72,2,FRI,2,1
4.22826193629878,PATHOGEN,R1C2PM_FRI,1,72,2,FRI,2,1
4.43193903052744,PATHOGEN,R1C2PM_FRI,1,72,2,FRI,2,1
4.47439560949996,PATHOGEN,R1C2PM_FRI,1,72,2,FRI,2,1
2.72533117898656,PATHOGEN,R1C2PM_FRI,1,72,2,FRI,2,1
4.81357195610105,PATHOGEN,R1C2PM_FRI,1,72,2,FRI,2,1
5.03994127647461,PATHOGEN,R1C2PM_FRI,1,72,2,FRI,2,1
3.63801662246237,PATHOGEN,R1C2PM_FRI,1,72,2,FRI,2,1
4.82615666106971,PATHOGEN,R1C2PM_FRI,1,72,2,FRI,2,1
4.45215645870768,PATHOGEN,R1C2PM_FRI,1,72,2,FRI,2,1
6.05627039212253,PATHOGEN,R1C2PM_FRI,1,72,2,FRI,2,1
4.88855504677123,PATHOGEN,R1C2PM_FRI,1,72,2,FRI,2,1
1.90392507402471,PATHOGEN,R1C2PM_FRI,1,72,2,FRI,2,1
2.93985629963439,PATHOGEN,R1C2PM_FRI,1,72,2,FRI,2,1
5.41406851893605,PATHOGEN,R1C2PM_FRI,1,72,2,FRI,2,1
3.79911739750169,PATHOGEN,R1C2PM_FRI,1,72,2,FRI,2,1
3.51498691320466,PATHOGEN,R1C2PM_FRI,1,72,2,FRI,2,1
5.59363736583529,PATHOGEN,R1C2PM_FRI,1,72,2,FRI,2,1
0.892549355252974,PATHOGEN,R1C2PM_FRI,1,72,2,FRI,2,1
2.13206121291697,PATHOGEN,R1C2PM_FRI,1,72,2,FRI,2,1
8.34659525270634,PATHOGEN,R1C2PM_FRI,1,72,2,FRI,2,1
6.8910667143003,PATHOGEN,R1C2PM_FRI,1,72,2,FRI,2,1
4.1442950697314,PATHOGEN,R1C2PM_FRI,1,72,2,FRI,2,1
4.5811354624154,PATHOGEN,R1C2PM_FRI,1,72,2,FRI,2,1
5.0681754922568,PATHOGEN,R1C2PM_FRI,1,72,2,FRI,2,1
1.90392507402471,PATHOGEN,R1C2PM_FRI,1,72,2,FRI,2,1
4.65373676468706,PATHOGEN,R1C2PM_FRI,1,72,2,FRI,2,1
6.83145041263086,PATHOGEN,R1C2PM_FRI,1,72,2,FRI,2,1
5.44632740362715,PATHOGEN,R1C2PM_FRI,1,72,2,FRI,2,1
5.19415557983201,PATHOGEN,R1C2PM_FRI,1,72,2,FRI,2,1
4.77613872670369,PATHOGEN,R1C2PM_FRI,1,72,2,FRI,2,1
2.76452758876856,PATHOGEN,R1C2PM_FRI,1,72,2,FRI,2,1
0.248793118122266,PATHOGEN,R1C2PM_FRI,1,72,2,FRI,2,1
8.68777085189291,PATHOGEN,R1C2PM_FRI,1,72,2,FRI,2,1
5.56618848705625,PATHOGEN,R1C2PM_FRI,1,72,2,FRI,2,1
5.76794864423219,PATHOGEN,R1C2PM_FRI,1,72,2,FRI,2,1
7.75098440522235,PATHOGEN,R1C2PM_FRI,1,72,2,FRI,2,1
4.41869549206126,PATHOGEN,R1C2PM_FRI,1,72,2,FRI,2,1
2.93985629963439,PATHOGEN,R1C2PM_FRI,1,72,2,FRI,2,1
4.65373676468706,PATHOGEN,R1C2PM_FRI,1,72,2,FRI,2,1
2.6911206929427,PATHOGEN,R1C2PM_FRI,1,72,2,FRI,2,1
0.890395452874732,PATHOGEN,R1C2PM_FRI,1,72,2,FRI,2,1
0.595740348222277,PATHOGEN,R1C2PM_FRI,1,72,2,FRI,2,1
6.41958704467965,PATHOGEN,R1C2PM_FRI,1,72,2,FRI,2,1
2.10537695741463,PATHOGEN,R1C2PM_FRI,1,72,2,FRI,2,1
4.83545937095174,PATHOGEN,R1C2PM_FRI,1,72,2,FRI,2,1
6.9955774154104,PATHOGEN,R1C2PM_FRI,1,72,2,FRI,2,1
8.26289310477496,PATHOGEN,R1C2PM_FRI,1,72,2,FRI,2,1
1.23960701938155,PATHOGEN,R1C2PM_FRI,1,72,2,FRI,2,1
8.75899339016672,PATHOGEN,R1C2PM_FRI,1,72,2,FRI,2,1
4.22826193629878,PATHOGEN,R1C2PM_FRI,1,72,2,FRI,2,1
5.41406851893605,PATHOGEN,R1C2PM_FRI,1,72,2,FRI,2,1
6.83145041263086,PATHOGEN,R1C2PM_FRI,1,72,2,FRI,2,1
2.6911206929427,PATHOGEN,R1C2PM_FRI,1,72,2,FRI,2,1
1.86066194275972,PATHOGEN,R1C2PM_FRI,1,72,2,FRI,2,1
2.16566344978493,PATHOGEN,R1C2PM_FRI,1,72,2,FRI,2,1
6.87343343018179,PATHOGEN,R1C2PM_FRI,1,72,2,FRI,2,1
4.67944328557261,PATHOGEN,R1C2PM_FRI,1,72,2,FRI,2,1
6.95980611021578,PATHOGEN,R1C2PM_FRI,1,72,2,FRI,2,1
5.28340996122385,PATHOGEN,R1C2PM_FRI,1,72,2,FRI,2,1
8.93448049375896,PATHOGEN,R1C2PM_FRI,1,72,2,FRI,2,1
1.5344168088754,PATHOGEN,R1C2PM_FRI,1,72,2,FRI,2,1
8.22715066487177,PATHOGEN,R1C2PM_FRI,1,72,2,FRI,2,1
4.43193903052744,PATHOGEN,R1C2PM_FRI,1,72,2,FRI,2,1
3.79911739750169,PATHOGEN,R1C2PM_FRI,1,72,2,FRI,2,1
5.44632740362715,PATHOGEN,R1C2PM_FRI,1,72,2,FRI,2,1
0.890395452874732,PATHOGEN,R1C2PM_FRI,1,72,2,FRI,2,1
1.86066194275972,PATHOGEN,R1C2PM_FRI,1,72,2,FRI,2,1
0.312169825575759,PATHOGEN,R1C2PM_FRI,1,72,2,FRI,2,1
