chamber_info_centrality,treatment,name,day,time,week,subset,colony,chamber_id
0.042254917724031,SHAM,R2C2SM_TUE,TUE,0,2,4,1,R2C2SM_61
0.035137920009208,SHAM,R2C2SM_WED,WED,24,2,4,1,R2C2SM_61
0.136465864112345,SHAM,R2C2SM_WED,WED,24,2,4,1,R2C2SM_95
0.124267025983882,SHAM,R2C2SM_WED,WED,24,2,4,1,R2C2SM_162
0.04252581580694,SHAM,R2C2SM_WED,WED,24,2,4,1,R2C2SM_171
0.128060399969487,SHAM,R2C2SM_WED,WED,24,2,4,1,R2C2SM_194
0.022176533446578,SHAM,R2C2SM_WED,WED,24,2,4,1,R2C2SM_184
0.092283061339784,SHAM,R2C2SM_WED,WED,24,2,4,1,R2C2SM_64
0.07939051390355,SHAM,R2C2SM_WED,WED,24,2,4,1,R2C2SM_166
0.06995784900608,SHAM,R2C2SM_THU,THU,48,2,4,1,R2C2SM_162
0.131919522571714,SHAM,R2C2SM_THU,THU,48,2,4,1,R2C2SM_61
0.068532831795417,SHAM,R2C2SM_THU,THU,48,2,4,1,R2C2SM_184
0.046406506201672,SHAM,R2C2SM_THU,THU,48,2,4,1,R2C2SM_171
0.091991852488379,SHAM,R2C2SM_THU,THU,48,2,4,1,R2C2SM_95
0.124809804462975,SHAM,R2C2SM_THU,THU,48,2,4,1,R2C2SM_64
0.262797763941456,SHAM,R2C2SM_THU,THU,48,2,4,1,R2C2SM_194
0.145320131071036,SHAM,R2C2SM_FRI,FRI,72,2,4,1,R2C2SM_64
0.130345607919,SHAM,R2C2SM_FRI,FRI,72,2,4,1,R2C2SM_61
0.087260124025115,SHAM,R2C2SM_FRI,FRI,72,2,4,1,R2C2SM_184
0.194167763428806,SHAM,R2C2SM_FRI,FRI,72,2,4,1,R2C2SM_171
0.206186238716625,SHAM,R2C2SM_FRI,FRI,72,2,4,1,R2C2SM_194
0.101040341292778,SHAM,R2C2SM_FRI,FRI,72,2,4,1,R2C2SM_178
0.225090885761586,SHAM,R2C2SM_FRI,FRI,72,2,4,1,R2C2SM_162
0.316566867656977,SHAM,R2C2SM_FRI,FRI,72,2,4,1,R2C2SM_231
0.114718019871829,SHAM,R2C2SM_FRI,FRI,72,2,4,1,R2C2SM_319
0.113437551859396,SHAM,R2C2SM_MON,MON,144,2,4,1,R2C2SM_194
0.078193824593829,SHAM,R2C2SM_MON,MON,144,2,4,1,R2C2SM_162
0.189722434468358,SHAM,R2C2SM_MON,MON,144,2,4,1,R2C2SM_319
0.189904256351788,SHAM,R2C2SM_MON,MON,144,2,4,1,R2C2SM_239
0.036716545050601,SHAM,R2C2SM_MON,MON,144,2,4,1,R2C2SM_64
0.067119941146338,SHAM,R2C2SM_MON,MON,144,2,4,1,R2C2SM_178
0.079465708519659,SHAM,R2C2SM_MON,MON,144,2,4,1,R2C2SM_171
0.08968834670825,SHAM,R2C2SM_MON,MON,144,2,4,1,R2C2SM_61
0.144676909367,SHAM,R2C2SM_MON,MON,144,2,4,1,R2C2SM_437
0.114498565694945,SHAM,R2C2SM_MON,MON,144,2,4,1,R2C2SM_95
0.062333359198772,SHAM,R2C2SM_MON,MON,144,2,4,1,R2C2SM_455
0.049868558514086,SHAM,R2C2SM_MON,MON,144,2,4,1,R2C2SM_177
0.261408446964004,SHAM,R2C2SM_MON,MON,144,2,4,1,R2C2SM_231
0.375476795482414,SHAM,R3C1SK_THU,THU,48,3,5,2,R3C1SK_44
0.191963446070702,SHAM,R3C1SK_THU,THU,48,3,5,2,R3C1SK_62
0.253262831525469,SHAM,R3C1SK_FRI,FRI,72,3,5,2,R3C1SK_44
0.231526786405685,SHAM,R3C1SK_FRI,FRI,72,3,5,2,R3C1SK_97
0.188655593048569,SHAM,R3C1SK_FRI,FRI,72,3,5,2,R3C1SK_62
0.131534745839126,SHAM,R3C1SK_MON,MON,144,3,5,2,R3C1SK_44
0.15031496819226,SHAM,R3C1SK_MON,MON,144,3,5,2,R3C1SK_62
0.036892964804598,SHAM,R3C1SK_MON,MON,144,3,5,2,R3C1SK_148
0.015634772317361,SHAM,R3C1SK_MON,MON,144,3,5,2,R3C1SK_97
0.027202718537115,PATHOGEN,R3C2PM_TUE,TUE,0,3,6,2,R3C2PM_53
0.01857691208712,PATHOGEN,R3C2PM_TUE,TUE,0,3,6,2,R3C2PM_21
0.09853489599762,PATHOGEN,R3C2PM_WED,WED,24,3,6,2,R3C2PM_21
0.121535727655382,PATHOGEN,R3C2PM_WED,WED,24,3,6,2,R3C2PM_53
0.331361721410222,PATHOGEN,R3C2PM_THU,THU,48,3,6,2,R3C2PM_157
0.047059097398842,PATHOGEN,R3C2PM_THU,THU,48,3,6,2,R3C2PM_7
0.051412429070762,PATHOGEN,R3C2PM_THU,THU,48,3,6,2,R3C2PM_27
0.101748961153141,PATHOGEN,R3C2PM_THU,THU,48,3,6,2,R3C2PM_53
0.036588911599762,PATHOGEN,R3C2PM_THU,THU,48,3,6,2,R3C2PM_138
0.1144196922941,PATHOGEN,R3C2PM_THU,THU,48,3,6,2,R3C2PM_21
0.939392103442613,PATHOGEN,R3C2PM_THU,THU,48,3,6,2,R3C2PM_104
0.042193309044738,PATHOGEN,R3C2PM_FRI,FRI,72,3,6,2,R3C2PM_27
0.267726432349495,PATHOGEN,R3C2PM_FRI,FRI,72,3,6,2,R3C2PM_180
0.209279179639987,PATHOGEN,R3C2PM_FRI,FRI,72,3,6,2,R3C2PM_7
0.419922795830529,PATHOGEN,R3C2PM_FRI,FRI,72,3,6,2,R3C2PM_32
